Spotify Premium,Spotify Free,YouTube Free,YouTube Premium,Apple Music,Amazon Music,Others,PE1,PE2,PE3,PE4,PE5,EE1,EE2,EE3,PV1,PV2,PV3,PF1,PF2,PF3,SM1,SM2,SL1,SL2,PG1,PG2,PG3,VM1,VM2,VM3,FT1,FT2,FT3,MH1,MH2,MH3,MH4,MH5,Room_for_enhancement,Age,Gender,Employment status,Household_income
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Male,Student not employed,"£20,000 or Less"
Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,,,,,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Female,Student not employed,
Never or Almost Never,Occasionally,Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,"On Apple Music, downloaded albums sometimes ‘disappear’ when the commercial rights change. Also, when you download a compilation album it often ‘breaks apart’ - i.e. when the platform has updated the collection you no longer have the compilation album but it’s split into the original albums of the track but with only one or two tracks in each.",45 - 54,Male,Employed Full Time,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Regularly,Never or Almost Never,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Giving preference to unplayed songs to the user first ,18 - 24,Male,Student & employed,"£20,001 - £40,000"
Very Frequently,Regularly,Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"AI produced playlists tend to be genre specific, daily mix? But I prefer a mix of everything together ",45 - 54,Female,Employed Full Time,"£60,001 - £80,000"
Occasionally,Frequently,Frequently,Occasionally,Never or Almost Never,Frequently,Never or Almost Never,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I switched from Spotify premium to apple about 9 months ago and I’m very tempted to go back. Your questions reminded me why I find apple far more glitchy to use. Good luck with the research
",55 or older,Male,Employed Full Time,"£80,001 or more"
Never or Almost Never,Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Occasionally,Occasionally,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,18 - 24,Female,Student not employed,
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,,18 - 24,Female,Student not employed,
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,18 - 24,Male,Student not employed,"£20,000 or Less"
Very Frequently,Very Frequently,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Regularly,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,We could try adjusting the levels of vocals and each instruments on our own based on how we would like to hear. ,18 - 24,Male,Student & employed,
Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Frequently,Occasionally,Never or Almost Never,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,It should use AI to adapt to my change of mood,18 - 24,Male,Student not employed,"£20,000 or Less"
Very Frequently,Regularly,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Male,Student not employed,
Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,,18 - 24,Female,Student not employed,"£20,000 or Less"
Very Frequently,Regularly,Frequently,Never or Almost Never,Frequently,Frequently,Never or Almost Never,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Disagree,The plans aren’t very adaptable with respect to sharing ,18 - 24,Female,Student not employed,"£20,000 or Less"
Frequently,Never or Almost Never,Occasionally,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Under 18,Male,Student not employed,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,User interface should be more friendly and options to set timer is required in all applications ,25 - 34,Female,Student & employed,
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,,18 - 24,Female,Student not employed,
Occasionally,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,,18 - 24,Male,Student not employed,
Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,,18 - 24,Male,Student not employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Zero advertisements for free service ,18 - 24,Female,Employed Full Time,
Never or Almost Never,Regularly,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,,18 - 24,Prefer not to say,Student not employed,
Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,18 - 24,Male,Student not employed,
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Frequently,Very Frequently,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,No,18 - 24,Male,Student & employed,"£20,000 or Less"
Very Frequently,Frequently,Frequently,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,18 - 24,Male,Student not employed,
Occasionally,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Very Frequently,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,"Maybe a local concerts option or when and where the current artist will be on tour/play next. WITHOUT it becoming a huge part of my screen, the ui/ux should produce it like a piece of info, NOT a promotion. That'd be nice. ",18 - 24,Female,Employed Full Time,"£20,001 - £40,000"
Never or Almost Never,Frequently,Frequently,Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,,18 - 24,Female,Student not employed,"£20,000 or Less"
Regularly,Frequently,Regularly,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,"Not all old musics are available in Spotify, it would be nice if they make it available",18 - 24,Female,Student & employed,
Never or Almost Never,Regularly,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,,25 - 34,Female,Unemployed or Retired,
Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,I would like lyrics in a preferred language so that cross- cultural/ unknown language songs can also be understood and appreciated,18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Adding all the mashups in the Spotify,18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Volunteer suggestions of trending songs ,18 - 24,Female,Student not employed,
Never or Almost Never,Frequently,Regularly,Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Disagree,Include more songs by different artists and curate better playlists based on previous plays,18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Male,Student not employed,"£20,000 or Less"
Very Frequently,Very Frequently,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,"Yes -
• Make premium subscriptions more affordable
• Offer an extensive collection of music, podcasts and audiobooks
• Make the search function smarter
• Make algorithms for shuffle play non-repetitive",25 - 34,Male,Employed Full Time,
Occasionally,Occasionally,Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,"The interruptive ad services are a pain point in many cases, restricting it to about three to five ads in a particular cycle will be appealing ",25 - 34,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Agree,Agree,Somewhat agree,Agree,Strongly agree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,,45 - 54,Female,Unemployed or Retired,"£20,000 or Less"
Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Make it free and more exploring ,18 - 24,Female,Student not employed,
Very Frequently,Frequently,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Start listening to more diverse kind of songs from different languages.,18 - 24,Female,Student not employed,"£20,000 or Less"
Occasionally,Regularly,Regularly,Never or Almost Never,Never or Almost Never,Occasionally,Never or Almost Never,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"Free services and less ads
Lyrics made available for all language songs

",18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Agree,,18 - 24,Female,Student not employed,
Never or Almost Never,Never or Almost Never,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,I would really like Spotify to not put ads saying if I get the premium subscription I wouldn’t have to listen to any ads,18 - 24,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Very Frequently,Never or Almost Never,Occasionally,Regularly,Never or Almost Never,Disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Na,18 - 24,Prefer not to say,Student not employed,
Never or Almost Never,Very Frequently,Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Budget-friendly charges for premium services,18 - 24,Female,Student & employed,"£20,000 or Less"
